epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1692.34,1.08899,0.89852,1.03042,0.9842,1,0.995,0.65429,1.25525,0.79379,1.14841,0.00025744,0.00025744,0.00025744
56,1725.9,1.11172,0.8972,1.01256,0.97858,0.98809,0.98426,0.64056,1.27141,0.80355,1.16002,0.0002548,0.0002548,0.0002548
57,1758.14,1.09264,0.87614,1.021,0.98197,0.99039,0.995,0.62857,1.29165,0.79961,1.16159,0.00025216,0.00025216,0.00025216
58,1788.63,1.0873,0.87521,1.03299,0.97514,0.99648,0.995,0.62581,1.30905,0.79494,1.15572,0.00024952,0.00024952,0.00024952
59,1818.6,1.06351,0.85892,1.00384,0.97625,0.99778,0.995,0.63213,1.26414,0.77672,1.13003,0.00024688,0.00024688,0.00024688
60,1847.45,1.05032,0.85101,1.00338,0.97738,0.99814,0.995,0.63832,1.20603,0.77164,1.09287,0.00024424,0.00024424,0.00024424
61,1878.45,1.06568,0.84974,1.00209,0.97583,0.99663,0.995,0.64942,1.18191,0.762,1.07909,0.0002416,0.0002416,0.0002416
62,1910.31,1.04938,0.85939,1.00166,0.98533,0.99448,0.995,0.64352,1.21448,0.77084,1.07973,0.00023896,0.00023896,0.00023896
63,1941.5,1.01929,0.86696,1.01741,0.99088,0.99515,0.995,0.6388,1.22461,0.77073,1.08015,0.00023632,0.00023632,0.00023632
64,1974.87,1.04961,0.87011,1.00575,0.99085,0.99954,0.995,0.64136,1.23857,0.77079,1.09057,0.00023368,0.00023368,0.00023368
65,2005.95,1.03666,0.83435,0.98596,0.99152,0.99974,0.995,0.64092,1.25085,0.77314,1.10474,0.00023104,0.00023104,0.00023104
66,2034.29,1.05459,0.87746,1.00489,0.98952,0.99888,0.995,0.6504,1.19109,0.77434,1.08165,0.0002284,0.0002284,0.0002284
67,2062.86,1.0525,0.82468,1.00938,0.98958,1,0.995,0.64534,1.20381,0.77437,1.08816,0.00022576,0.00022576,0.00022576
68,2094.48,1.07783,0.85754,1.00268,0.98426,1,0.995,0.64764,1.226,0.77115,1.10095,0.00022312,0.00022312,0.00022312
69,2121.03,1.02018,0.82242,0.99518,0.98522,1,0.995,0.63999,1.2394,0.76653,1.10079,0.00022048,0.00022048,0.00022048
70,2148.12,1.05446,0.85069,1.01282,0.99197,0.99814,0.995,0.63328,1.26948,0.76664,1.14472,0.00021784,0.00021784,0.00021784
71,2176.04,0.98693,0.79767,0.98142,0.99007,0.99723,0.995,0.64118,1.25464,0.76796,1.16304,0.0002152,0.0002152,0.0002152
72,2206.93,1.0184,0.8124,0.9893,0.99041,0.99809,0.995,0.64051,1.25711,0.78675,1.17471,0.00021256,0.00021256,0.00021256
73,2239.56,1.00367,0.83113,0.98532,0.99031,1,0.995,0.63229,1.27552,0.79512,1.18389,0.00020992,0.00020992,0.00020992
74,2272.44,1.03206,0.79983,0.98494,0.98469,0.99792,0.995,0.62879,1.29237,0.82595,1.18675,0.00020728,0.00020728,0.00020728
75,2304.96,1.02905,0.82061,1.00248,0.98325,0.99754,0.995,0.63131,1.28098,0.81717,1.16862,0.00020464,0.00020464,0.00020464
76,2337.79,1.05465,0.81304,0.99898,0.98621,0.99836,0.995,0.65054,1.22846,0.80235,1.12836,0.000202,0.000202,0.000202
77,2370.46,0.99998,0.78876,0.99407,0.9864,1,0.995,0.64938,1.19403,0.79474,1.106,0.00019936,0.00019936,0.00019936
78,2400.7,1.04532,0.80584,0.99063,0.98033,1,0.995,0.63946,1.2084,0.78168,1.11317,0.00019672,0.00019672,0.00019672
79,2430.6,1.0252,0.80507,0.98586,0.98146,1,0.995,0.64796,1.18387,0.76854,1.10875,0.00019408,0.00019408,0.00019408
80,2457.57,1.00299,0.82559,0.99332,0.98384,1,0.995,0.6586,1.16149,0.75198,1.10974,0.00019144,0.00019144,0.00019144
81,2484.47,1.00132,0.78935,0.99127,0.98677,1,0.995,0.66351,1.153,0.74716,1.11718,0.0001888,0.0001888,0.0001888
82,2517.67,1.01549,0.80521,0.98507,0.98352,0.98769,0.995,0.66165,1.16052,0.73939,1.13313,0.00018616,0.00018616,0.00018616
83,2549.81,1.01746,0.80038,0.97861,0.97205,0.99663,0.9915,0.65304,1.17312,0.74449,1.12644,0.00018352,0.00018352,0.00018352
84,2581.76,1.00903,0.79808,0.99248,0.96896,0.99692,0.992,0.64038,1.19804,0.74384,1.11855,0.00018088,0.00018088,0.00018088
85,2610.94,1.01236,0.80507,0.99021,0.97031,0.99073,0.992,0.64937,1.18952,0.73491,1.11579,0.00017824,0.00017824,0.00017824
86,2641.62,1.00017,0.79007,0.98499,0.97675,0.99662,0.995,0.65027,1.16294,0.72291,1.12874,0.0001756,0.0001756,0.0001756
87,2670.6,0.97374,0.7884,0.98092,0.97875,0.99658,0.995,0.6472,1.17599,0.72933,1.14001,0.00017296,0.00017296,0.00017296
88,2700.51,0.97884,0.77041,0.98111,0.98457,0.9966,0.995,0.64101,1.19396,0.73439,1.14703,0.00017032,0.00017032,0.00017032
89,2731.73,0.98565,0.75581,0.97691,0.99074,0.99686,0.995,0.64582,1.22569,0.73875,1.16033,0.00016768,0.00016768,0.00016768
90,2763.02,0.99376,0.75567,0.975,0.9926,1,0.995,0.6484,1.22402,0.74071,1.14841,0.00016504,0.00016504,0.00016504
91,2793,0.99081,0.7914,0.98113,0.98977,1,0.995,0.64271,1.19723,0.73787,1.13154,0.0001624,0.0001624,0.0001624
92,2822.86,0.96598,0.77668,0.98607,0.98133,1,0.995,0.64884,1.18465,0.7335,1.12886,0.00015976,0.00015976,0.00015976
93,2853.92,0.95041,0.78657,0.96995,0.98864,1,0.995,0.64956,1.1705,0.72943,1.11749,0.00015712,0.00015712,0.00015712
94,2885.71,1.03293,0.78299,0.9892,0.98862,1,0.995,0.65398,1.20023,0.71311,1.12324,0.00015448,0.00015448,0.00015448
95,2916.34,0.98879,0.81085,0.97473,0.98896,1,0.995,0.65573,1.20539,0.70885,1.12959,0.00015184,0.00015184,0.00015184
96,2946.73,0.9289,0.73457,0.96986,0.98968,1,0.995,0.65603,1.2145,0.70977,1.13427,0.0001492,0.0001492,0.0001492
97,2980.28,0.94381,0.73687,0.96603,0.99036,1,0.995,0.65466,1.20563,0.7164,1.11919,0.00014656,0.00014656,0.00014656
98,3010.75,0.9657,0.77393,0.96381,0.99229,1,0.995,0.65696,1.17319,0.72697,1.10626,0.00014392,0.00014392,0.00014392
99,3041.96,0.94867,0.74331,0.97341,0.99305,1,0.995,0.65699,1.16642,0.71407,1.11025,0.00014128,0.00014128,0.00014128
100,3073.65,0.98365,0.75319,0.97467,0.99353,0.99997,0.995,0.65782,1.1663,0.69831,1.11884,0.00013864,0.00013864,0.00013864
101,3103.09,0.95304,0.75956,0.96586,0.99203,0.99961,0.995,0.64983,1.1621,0.69446,1.11975,0.000136,0.000136,0.000136
102,3134.94,0.99,0.77206,0.97118,0.98886,0.99899,0.995,0.66564,1.13555,0.6888,1.10596,0.00013336,0.00013336,0.00013336
103,3164.94,0.9461,0.74039,0.96261,0.98327,0.99728,0.995,0.66437,1.1373,0.69135,1.10463,0.00013072,0.00013072,0.00013072
104,3194.61,0.94951,0.72426,0.95888,0.98362,0.99709,0.995,0.66727,1.14711,0.69087,1.10851,0.00012808,0.00012808,0.00012808
105,3226.63,0.96412,0.74571,0.97464,0.98985,0.99864,0.995,0.66207,1.14391,0.68569,1.10688,0.00012544,0.00012544,0.00012544
106,3256.8,0.9616,0.72535,0.95716,0.99064,0.99813,0.995,0.65869,1.14965,0.68288,1.11691,0.0001228,0.0001228,0.0001228
107,3289.03,0.92036,0.71931,0.94957,0.98985,0.99783,0.995,0.66114,1.15756,0.68714,1.11741,0.00012016,0.00012016,0.00012016
108,3322.48,0.93478,0.73866,0.95835,0.98913,0.99761,0.995,0.65629,1.17309,0.69552,1.11924,0.00011752,0.00011752,0.00011752
109,3355.34,0.9507,0.75884,0.95503,0.98853,0.99804,0.995,0.65128,1.17365,0.69796,1.11337,0.00011488,0.00011488,0.00011488
110,3385.73,0.94267,0.70794,0.96263,0.99027,0.9969,0.995,0.65082,1.16712,0.68929,1.09591,0.00011224,0.00011224,0.00011224
111,3414.93,0.9088,0.71743,0.95303,0.99097,0.99496,0.995,0.65484,1.16178,0.68371,1.09201,0.0001096,0.0001096,0.0001096
112,3446.72,0.9571,0.74825,0.96076,0.98973,0.99527,0.995,0.6545,1.15925,0.67925,1.08761,0.00010696,0.00010696,0.00010696
113,3477.78,0.94576,0.74309,0.97005,0.98938,0.99519,0.995,0.65567,1.15812,0.67684,1.09219,0.00010432,0.00010432,0.00010432
114,3508.77,0.90665,0.72075,0.95319,0.98724,0.99492,0.995,0.65567,1.16092,0.67946,1.09426,0.00010168,0.00010168,0.00010168
